,Track,Album_Name,Artist,Release_Date,ISRC,All_Time_Rank,Track_Score,Spotify_Streams,Spotify_Playlist_Count,Spotify_Playlist_Reach,Spotify_Popularity,YouTube_Views,YouTube_Likes,TikTok_Posts,TikTok_Likes,TikTok_Views,YouTube_Playlist_Reach,Apple_Music_Playlist_Count,AirPlay_Spins,SiriusXM_Spins,Deezer_Playlist_Count,Deezer_Playlist_Reach,Amazon_Playlist_Count,Pandora_Streams,Pandora_Track_Stations,Soundcloud_Streams,Shazam_Counts,TIDAL_Popularity,Explicit_Track,numero_ligne,Pandora_Track,spotify_artist_id,spotify_followers_feb25,artist_genres
3847,Me Gusta,Me Gusta,Shakira,2020-01-13,USQX92000112,3991,21.4,353815769,49237,19452357,61.0,0,3298273,83800,9584342,108385612,13253315,95.0,50623,10,41,0,42,14773195,"4,072",0,2962296,,0,3985,14773195,0EmeFodog0BfCgMzAIvKQp,36720322,Error: 429
3500,Sofia,Sofia,Alvaro Soler,2016-04-15,DEUM71601055,3612,22.6,353525330,59509,9323605,65.0,0,7106869,379396,17082677,151019644,191192432,21.0,43791,4,16,0,14,945763,"10,078",0,6134790,,0,3629,945763,2urF8dgLVfDjunO0pcHUEe,1773636,Error: 429
4392,When I Grow Up,When I Grow Up,NF,2019-06-27,USUM71910672,4542,19.5,353038338,64001,7457128,66.0,0,4303644,20311,3628465,38818268,3146810,7.0,203,0,3,0,5,79383183,"61,626",0,521339,,0,4558,79383183,6fOMl44jA4Sp5b9PpYCkzz,10648813,Error: 429
3559,POP/STARS,POP/STARS,K/DA,2018-11-03,NLRD51859885,3650,22.4,352999804,49066,6820467,64.0,0,7491512,2636,3122902,22307459,105803850,16.0,2110,0,10,0,26,4297676,"8,057",7430414,768827,,0,3688,4297676,4gOc8TsQed9eqnqJct2c5v,2176395,Error: 429
1221,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,2021-04-30,USSM12102263,1271,42.0,352955079,108705,24218793,68.0,0,1939019,39265,21216408,177512619,42187695,73.0,84880,114,8,0,30,158532295,"29,915",0,2091659,,1,1273,158532295,0QHgL1lAIqAw0HtD7YldmP,11914844,Error: 429
2672,Like That,WE DON'T TRUST YOU,Future,2024-03-20,USSM12402255,2774,26.7,352623365,932,622889,,0,0,0,0,0,0,136.0,0,0,2,0,0,0,,0,0,,0,2779,0,1RyvyyTE3xzB2ZywiAwp0i,20461106,Error: 429
4236,Pump It Up,Pump It Up,Endor,2019-09-13,GBCPZ1916610,4386,20.0,352268839,130479,31491313,66.0,0,317013,143448,9267305,135688880,0,67.0,23074,105,29,0,20,4181404,"12,223",0,2307798,,0,4396,4181404,6F3vLfyutkUhpM50G84eMt,67779,Error: 429
1995,911,911,Sech,2021-02-05,QM9WM2000134,2058,31.8,352258962,68202,13733700,55.0,0,2300245,321298,59055794,425874947,5980666,43.0,26965,92,7,0,22,13388831,"4,469",4291370,943449,,1,2066,13388831,77ziqFxp5gaInVrF2lj4ht,12094721,Error: 429
1736,Through Da Storm,Die A Legend,Polo G,2019-06-07,USQX91901170,1800,34.3,351007818,105025,7074555,64.0,0,1709390,16973,8083973,55106493,6427525,2.0,283,0,11,0,0,51567061,"32,915",66792003,713131,,1,1800,51567061,6AgTAQt8XS6jRWi4sX7w49,12383276,Error: 429
2464,Set Me Free Pt.2,Set Me Free Pt.2,Jimin,2023-03-17,USA2P2251867,2554,28.0,350802342,12581,16368476,76.0,0,5807332,182865,104841360,494628703,166154392,5.0,2402,0,24,0,8,2552268,686,0,437897,,1,2559,2552268,1oSPZhvZMIrWW5I41kPkkY,9869283,Error: 429
4360,SEJODIOTO,SEJODIOTO,KAROL G,2021-09-21,USUM72117129,4533,19.6,350738636,29760,11290192,66.0,0,1697768,214500,29252686,351428481,12339929,42.0,19998,285,20,0,27,47444595,"7,262",0,571685,,1,4525,47444595,790FomKkXshlbRYZFtlgla,54784739,Error: 429
333,500lbs,500lbs,Lil Tecca,2023-07-21,USUM72309854,349,82.1,350584176,79228,26972646,68.0,0,452857,638,1056379,11627298,277256864,19.0,1239,0,5,0,19,2538334,"6,256",18379949,776386,,1,348,2538334,4Ga1P7PMIsmqEZqhYZQgDo,8711926,Error: 429
4129,El Gavilï¿½,El Gavilï¿½ï¿½n - Si,Luis R Conriquez,2022-10-21,USANG2216030,4282,20.4,350440369,24886,11413202,72.0,0,709386,52200,11077840,128910215,0,11.0,21,0,3,0,5,13224203,"1,933",0,264907,,0,4278,13224203,0pePYDrJGk8gqMRbXrLJC8,7405868,Error: 429
3142,THE SHADE,WHO CARES?,Rex Orange County,2022-03-11,USRC12102927,3263,24.1,350427750,49991,14312352,71.0,0,737982,204742,61504934,569263172,544115326,15.0,15807,0,10,0,13,397851,508,0,477438,,0,3260,397851,7pbDxGE6nQSZVfiFdq9lOL,6407068,Error: 429
2428,About You,Being Funny In a Foreign Language,The 1975,2022-10-14,GBK3W2202321,2506,28.3,350348521,48286,23268627,75.0,0,494666,117002,112061372,793536731,2197815,32.0,27952,5,5,0,16,1164726,818,446223,508585,,0,2522,1164726,3mIj9lX2MWuHmhNCA7LSCW,7634232,Error: 429
3335,Yebbaï¿½ï¿½ï¿½s Hear,Certified Lover Boy,Drake,2021-09-03,USUG12104407,3448,23.3,349849639,81889,12970647,71.0,0,650033,96428,61939371,352584596,21631984,13.0,12,8,6,0,3,6377789,"7,857",0,1419180,,1,3459,6377789,3TVXtAsR1Inumwj472S9r4,96238154,Error: 429
2413,TOES (feat. Lil Baby & Moneybagg Yo),KIRK,DaBaby,2019-09-27,USUM71919280,2499,28.4,349688559,77636,12565087,60.0,0,699236,538219,83527860,643169528,1989190,26.0,854,43,9,0,7,118261786,"72,689",41833353,771928,,1,2507,118261786,4r63FhuTkUYltbVAg5TQnk,12480601,Error: 429
1950,Higher Power,Higher Power,Coldplay,2021-05-07,GBAYE2100379,2016,32.1,349603788,52095,26147738,63.0,0,1529839,276352,33048101,343629235,364653532,151.0,340644,85,49,0,43,9120013,"3,235",116882,2591262,,0,2019,9120013,4gzpq5DPGxSnKTe4SA8HAU,56782417,Error: 429
2278,Soap,Soap,Melanie Martinez,2015-07-10,USAT21501777,2349,29.4,349538935,48604,10908000,67.0,0,2427913,12087056,218008359,2568929437,136167,25.0,301,0,7,0,6,40780412,"43,140",0,0,,0,2359,40780412,63yrD80RY3RNEM2YDpUpO8,21862251,Error: 429
1369,Mi Bello Angel,Nata Montana,Natanael Cano,2023-06-30,USWL12301027,1421,39.1,349522530,23359,14819855,76.0,0,734128,8095,9061160,55484022,242792313,19.0,1264,0,8,0,8,8057504,"3,441",0,389913,,1,1425,8057504,0elWFr7TW8piilVRYJUe4P,17969247,Error: 429
1271,Stereo Love (TikTok Remix),Stereo Love (TikTok Remix) - Single,DJRemixGod,2024-04-30,QZYFZ2414978,1322,40.9,348676476,4,7,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,1,1326,0,3kEcQwpYE06lQJAAA3fVAA,44043,Error: 429
3283,Ensï¿½ï¿½ï¿½ï¿½ame ,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214887,3398,23.5,348372811,52893,6523487,69.0,0,684118,25900,16462263,154007395,99252847,12.0,1956,0,0,0,0,8024673,"1,451",0,400999,,0,3404,8024673,4q3ewBCX7sLwd24euuV69X,91075954,Error: 429
1400,"Poblado (feat. Crissin, Totoy El Frio & Natan & Shander) [Remix]",Poblado (Remix),J Balvin,2021-06-18,QZ5BF1600040,1454,38.5,347951927,60696,17980948,61.0,0,2596959,26000,6485132,91298035,169301786,78.0,21323,9,17,0,29,31517568,"6,884",0,1143010,,0,1457,31517568,1vyhD5VmyZ7KMfW5gqLgo5,37910281,Error: 429
4403,Outside Today,Outside Today,YoungBoy Never Broke Again,2018-01-11,USAT21800223,4561,19.5,347754650,77541,8703094,65.0,0,1713131,120875,9317681,44191712,3853313,17.0,918,0,3,0,0,202437193,"143,554",0,923983,,1,4570,202437193,7wlFDEWiM5OoIAt8RSli8b,13702341,Error: 429
258,MELTDOWN (feat. Drake),MELTDOWN (feat. Drake),Travis Scott,2023-07-27,USSM12305021,270,94.3,347647880,106908,29964622,74.0,0,405870,19100,6796886,53065653,174680696,57.0,53527,13,23,0,49,12478966,"3,216",9173465,861189,,1,270,12478966,0Y5tJX1MQlPlqiwlOH1tJY,37010815,Error: 429
1185,Playa Del Inglï¿½,Playa Del Inglï¿½ï¿½s - Si,Quevedo,2022-12-15,ES5152201707,1227,42.7,347558532,68744,34228107,67.0,0,705558,99164,14984269,323188246,6739337,18.0,18093,9,19,0,27,503289,244,90739,687719,,0,1236,503289,52iwsT98xCoGgiGntTiR7K,5591426,Error: 429
1163,Ya Supï¿½ï¿½rame (En V,Ya Supï¿½ï¿½rame (En Vivo) - Si,Grupo Firme,2021-08-13,QZDQH2148787,1210,43.0,347218974,34933,16279085,57.0,0,2983631,163723,31953097,394751759,59180203,23.0,9924,312,2,0,38,76029663,"61,601",0,1337426,,0,1214,76029663,1dKdetem2xEmjgvyymzytS,14295732,Error: 429
723,Pasoori,Pasoori,Shae Gill,2022-02-06,FR10S2289473,750,56.1,346971014,37940,6753521,65.0,0,9495255,627,225218,2638039,236473638,17.0,3701,0,1,0,7,0,,0,673415,,0,754,0,3bWIy9AUrQdiNeS62Bp3OP,893457,Error: 429
2757,Slut Me Out,Slut Me Out - Single,NLE Choppa,2022-04-15,USWB12200942,2867,26.1,346862697,72540,23493477,67.0,0,481537,60398,29004515,186623555,29533696,8.0,156,35,8,0,4,7754964,"27,818",0,814265,,1,2866,7754964,0ErzCpIMyLcjPiwT4elrtZ,9338130,Error: 429
1455,The Git Up,The Git Up,Blanco Brown,2019-05-03,QZEPT1900040,1506,37.8,346783267,70080,10444758,61.0,0,3547763,1270685,229456717,2139750734,199946770,,14316,55,16,0,21,155086108,"446,316",12447202,0,,0,1512,155086108,3yzRiNMZdTsSUgplcyYZ4i,167912,Error: 429
3113,Mala Fama,Mala Fama,Danna Paola,2019-03-28,MXUM71900480,3209,24.3,346737588,25823,6551065,62.0,0,5596983,131003,15861564,141133651,114882014,26.0,3395,18,8,0,17,1854603,"3,604",0,710052,,0,3231,1854603,5xSx2FM8mQnrfgM1QsHniB,5049093,Error: 429
3031,Slumber Party (feat. Princess Nokia),DEMIDEVIL,Ashnikko,2021-06-10,GBAYE2000706,3145,24.6,345069681,77169,14435083,67.0,0,1939007,333925,257917924,1652650346,455056,29.0,1616,32,15,0,1,10378177,"20,145",0,2149498,,1,3145,10378177,3PyJHH2wyfQK3WZrk9rpmP,2477641,Error: 429
2574,Yet To Come,Proof,BTS,2022-06-10,USA2P2226300,2656,27.3,344744597,16095,22964291,64.0,0,15060408,359475,122010208,973086190,559165676,28.0,25341,77,15,0,8,920415,869,0,625565,,0,2680,920415,3Nrfpe0tUJi4K4DXYWgMUX,77919662,Error: 429
2823,It'll Be Okay,It'll Be Okay,Shawn Mendes,2021-12-01,USUM72122321,2925,25.8,344658498,61117,28999986,65.0,0,2357556,130670,165436212,1514925086,1423088796,58.0,50031,97,36,0,22,20569697,"3,821",0,1497439,,0,2933,20569697,7n2wHs1TKAczGzO7Dd2rGr,44383242,Error: 429
1694,Broadway Girls (feat. Morgan Wallen),Broadway Girls (feat. Morgan Wallen),Lil Durk,2021-12-17,USQX92105926,1758,34.8,344369903,66276,8339705,72.0,0,1732879,45015,10444331,130467912,483357127,21.0,1354,9,1,0,18,101260772,"56,855",0,811835,,0,1757,101260772,3hcs9uc56yIGFCSy9leWe7,8608372,Error: 429
