,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Pandora Track,Unnamed: 0,channelId,channelUsername,channelUrl,numberOfSubscribers,channelTotalViews,channelTotalVideos,viewCount
841,Can't Feel My Face,Your Songs 2015,The Weeknd,2015-03-02,USUG11500741,851,52.6,1747534539,212829,101243254,76.0,1689190795,8927108,552005,26588465,264572676,238111307,433.0,158190,474,149,0,97,552312888,0,4197860,14056461,0,552312888,,,,,,,,
842,Quï¿½ï¿½ Onda Per,Quï¿½ï¿½ Onda Per,Grupo Firme,2023-03-30,QZDQH2362804,852,52.6,213405904,17694,13723182,70.0,401470868,961314,0,0,0,534052740,15.0,9254,0,10,0,4,7260620,0,0,655854,0,7260620,,,,,,,,
843,Sexy And I Know It,Sorry For Party Rocking (Japan Version),LMFAO,2011-01-01,USUM71108090,853,52.6,436722440,107912,33797077,62.0,1193724016,7130332,652850,62596716,927660445,222701064,57.0,5186,258,37,0,5,840489680,0,2154867,6761782,0,840489680,,,,,,,,
844,WHATS POPPIN,WHATS POPPIN,Jack Harlow,2020-01-21,USAT22000162,854,52.6,819779577,161131,28874159,70.0,709454117,7190778,748490,210602527,2078817404,52474731,68.0,88990,430,34,0,24,131616894,0,0,3222518,1,131616894,273.0,UC6vZl7Qj7JglLDmN_7Or-ZQ,JackHarlow,https://www.youtube.com/channel/UC6vZl7Qj7JglLDmN_7Or-ZQ,3010000.0,1923331243.0,131.0,1693482.0
845,POR EL CONTRARIO,ESQUINAS,Becky G,2023-09-28,USRC12302408,857,52.5,131938548,5913,9167049,75.0,118669957,649548,836833,46373944,589093596,353950794,10.0,7049,108,22,0,11,13424036,0,0,684079,0,13424036,,,,,,,,
846,Danza Kuduro - Cover,DON'T STOP WORKOUT -DJMIX-,DJ MIX NON-STOP CHANNEL,2023-12-21,TCJPY2352543,859,52.4,1648192461,15,52,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,,0.0,UC0VH9EEW2HyxwGLSQeCEFkw,djsoymixofficial7152,https://www.youtube.com/channel/UC0VH9EEW2HyxwGLSQeCEFkw,53500.0,17915477.0,317.0,18903.0
847,Rara Vez,Rara Vez,Taiu,2023-02-08,ARUM72300004,860,52.4,544165928,58646,20499657,77.0,200445038,1806923,302386,150768049,1522432243,18292788,15.0,12021,281,16,0,14,26771,204,0,943365,0,26771,,,,,,,,
848,That That (prod. & feat. SUGA of BTS),PSY 9th,PSY,2022-04-29,QZEKE2084402,858,52.4,269491606,26075,16176936,66.0,746615342,15669340,304900,324925866,2432918911,300796672,12.0,11171,243,5,0,16,2505495,0,0,797357,0,2505495,,,,,,,,
849,Whoï¿½ï¿½ï¿½s Afraid of Little O,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401037,862,52.3,166168092,5004,25607992,78.0,16423009,244859,0,815500,7202700,49401469,38.0,366,54,4,0,43,2890486,0,0,116673,0,2890486,70.0,UCqECaJ8Gagnn7YCbPEzWH6g,TaylorSwift,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,60700000.0,38424103158.0,285.0,928938.0
850,THE LONELIEST,THE LONELIEST,Mï¿½ï¿½ne,2022-10-07,ITB002200745,865,52.2,330593989,54823,16021571,67.0,175561257,2216240,296115,22320319,270169817,224863549,53.0,176130,21,61,0,37,6555059,0,0,4266103,0,6555059,,,,,,,,
