,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Pandora Track,Unnamed: 0,channelId,channelUsername,channelUrl,numberOfSubscribers,channelTotalViews,channelTotalVideos,viewCount
2761,Where You Are,Where You Are,John Summit,2023-03-03,USUG12301338,2822,26.3,123058600,41625,65080812,71.0,15090329,160292,12651,2501719,30233661,35904201,40.0,19860,16,22,0,30,3482823,0,2120172,763897,0,3482823,,,,,,,,
2762,Scream & Shout,Scream & Shout,will.i.am,2012-11-20,USUM71215597,2821,26.3,767661283,177756,49961171,72.0,1211548500,6168792,139644,110048740,838554125,226395588,61.0,16967,32,41,0,20,0,0,2747437,16187949,1,,213.0,UCVCdOaiHD05nGQm9tf1SEzw,illwilly,https://www.youtube.com/channel/UCVCdOaiHD05nGQm9tf1SEzw,5060000.0,3314698105.0,58.0,23846884.0
2763,bigger thï¿½ï¿½n everyt,bigger thï¿½ï¿½n everyt,Yeat,2023-08-10,USUM72311204,2832,26.3,48790265,26044,5580526,59.0,11963045,259674,0,239969,2309009,191102695,6.0,242,56,2,0,0,230247,0,5094725,158531,1,230247,,,,,,,,
2764,Princess Diana (with Nicki Minaj),Princess Diana (with Nicki Minaj),Ice Spice,2023-04-14,USUG12300211,2829,26.3,220270601,34862,34947789,67.0,32354134,356483,219907,98324852,905030524,0,,8968,0,0,0,0,0,0,0,0,1,,,,,,,,,
2765,This Is Me,This Is Me,Keala Settle,2017-10-27,USAT21704622,2852,26.2,809894358,80591,19776253,66.0,622964718,4716659,18442,1528788,16464069,41140493,71.0,36683,0,20,0,21,84821836,0,126042,3165985,0,84821836,,,,,,,,
2766,QUE PRETENDES,OASIS,J Balvin,2019-06-28,USUM71912318,2849,26.2,806817589,85661,29532086,71.0,489443301,2894907,31430,21776640,131482347,133515788,116.0,7749,36,42,0,33,0,0,4966997,2049245,0,,49.0,UCt-k6JwNWHMXDBGm9IYHdsg,jbalvin,https://www.youtube.com/channel/UCt-k6JwNWHMXDBGm9IYHdsg,34700000.0,25236040253.0,273.0,7328360.0
2767,The Chicken Wing Beat,The Chicken Wing Beat,Ricky Desktop,2020-06-13,QZHN72010372,2842,26.2,68033539,13060,1293542,60.0,88796716,1038952,4890413,206433932,2164370742,7628776,2.0,90,38,0,0,5,20368923,0,0,593992,0,20368923,,,,,,,,
2768,Nï¿½ï¿½o Vou Nam,Nï¿½ï¿½o Vou Nam,DJ Ws da Igrejinha,2024-01-19,QZZEC2322612,2850,26.2,73192291,7800,40120103,79.0,34522299,269890,0,0,0,15869838,1.0,6,0,24,0,17,0,0,0,143297,1,,,,,,,,,
2769,Rim Tim Tagi Dim,Rim Tim Tagi Dim,Baby Lasagna,2024-01-12,AT2DY2400003,2848,26.2,34926866,4003,4119043,75.0,50347276,837359,10600,0,0,12801813,13.0,2543,0,18,0,8,0,0,0,151826,0,,,,,,,,,
2770,Baila Baila Baila,Baila Baila Baila,Ozuna,2019-01-05,QM7281886206,2845,26.2,563326343,71108,14798709,64.0,619678799,3452638,106538,2189375,13221298,11102526,39.0,18970,456,19,0,47,102464905,0,0,2360573,0,102464905,297.0,UCjIA3wwhi0QjSOXAZwOXbPA,Ozuna,https://www.youtube.com/channel/UCjIA3wwhi0QjSOXAZwOXbPA,37300000.0,26237535600.0,256.0,4657112.0
2771,Ms. Jackson,Ms. Jackson,Pashanim,2023-08-24,DECE72302560,2847,26.2,91200208,31859,7752540,69.0,9615800,108288,1020,502312,4482394,171987731,16.0,9735,0,10,0,4,0,0,0,118882,0,,,,,,,,,
2772,Sï¿½ï¿½PER ULTRA ,Sï¿½ï¿½PER ULTRA ,Picus,2023-04-15,MXUM72300426,2844,26.2,14167450,963,227636,56.0,246398948,1783107,0,10206545,145453664,80150371,,374,0,0,0,1,0,0,0,55529,0,,,,,,,,,
2773,Happier (feat. Clementine Douglas),Happier (feat. Clementine Douglas) - Single,The Blessed Madonna,2024-02-02,GBAHT2301515,2846,26.2,30812151,5012,42546998,71.0,4200741,25745,0,0,0,24444704,48.0,9139,99,32,0,66,38754,47,3018379,428557,0,38754,,,,,,,,
2774,Sin Tanto Royo,Sin Tanto Royo,Luis R Conriquez,2023-10-20,QMANG2210115,2853,26.2,92158242,10988,6195525,,73651632,328795,363,134310,1349277,242792313,5.0,1,0,0,0,0,609823,333,0,268720,0,609823,,,,,,,,
2775,Psycho,ýýýThe ReVe Festivalýýý Finale,Red Velvet,2019-12-23,KRA301900597,2851,26.2,471042668,37370,8743783,66.0,716847469,9852754,46801,34695574,222663523,15450015,21.0,6935,5,7,0,19,3058867,0,0,578357,0,3058867,,,,,,,,
2776,Rhyme Dust,Rhyme Dust,MK,2023-02-24,GBARL2300220,2843,26.2,116992202,44035,62486297,65.0,7745796,95181,12594,8695476,92238960,7025105,50.0,14692,281,22,0,18,1299775,674,3195929,762785,0,1299775,,,,,,,,
2777,Tu Foto,Tu Foto,Q' Lokura,2024-05-16,QM6N22456323,2869,26.1,9244547,925,8931821,69.0,12781421,82897,0,0,0,0,1.0,91,0,1,0,0,0,0,0,10458,0,,,,,,,,,
2778,Loco,Loco,Justin Quiles,2021-05-13,USWL12100223,2864,26.1,417078369,80390,22262789,61.0,22493718,150440,779826,109132088,1310854382,982702,61.0,36058,0,25,0,31,18046754,0,2036108,2963547,0,18046754,,,,,,,,
2779,Siempre Pendientes,Siempre Pendientes,Peso Pluma,2022-08-15,QM6P42200426,2865,26.1,395739041,34865,14461323,69.0,115349777,497323,256000,27864309,347269682,0,18.0,651,0,1,0,9,31933007,0,0,525859,1,31933007,308.0,UCzrM_068Odho89mTRrrxqbA,pesopluma_oficial,https://www.youtube.com/channel/UCzrM_068Odho89mTRrrxqbA,7520000.0,7522818354.0,212.0,21949063.0
2780,LALALI,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,2024-04-29,USA2P2415976,2858,26.1,11282322,625,1779055,,23217618,887493,0,2229,22700,5822984,1.0,70,0,2,0,0,26409,24,0,15240,0,26409,,,,,,,,
2781,Slut Me Out,Slut Me Out - Single,NLE Choppa,2022-04-15,USWB12200942,2867,26.1,346862697,72540,23493477,67.0,28725574,481537,60398,29004515,186623555,29533696,8.0,156,35,8,0,4,7754964,0,0,814265,1,7754964,,,,,,,,
2782,Real Love,Real Love,Martin Garrix,2023-09-22,NLM5S2302045,2859,26.1,23089149,7090,14537779,,1508079,15100,700500,9061381,160449801,0,35.0,23382,156,47,0,0,376057,0,0,115557,0,376057,119.0,UC5H_KXkPbEsGs0tFt8R35mA,MartinGarrix,https://www.youtube.com/channel/UC5H_KXkPbEsGs0tFt8R35mA,14900000.0,6672073664.0,426.0,235575.0
2783,A Tu Merced,YHLQMDLG,Bad Bunny,2020-02-29,QM4TX2030959,2856,26.1,778269101,94041,20880365,70.0,357643934,1517496,80500,42847884,287886349,1278210,35.0,3929,0,12,0,8,26315157,0,0,671048,0,26315157,12.0,UCmBA_wu8xGg1OfOkfW13Q0Q,BadBunnyPR,https://www.youtube.com/channel/UCmBA_wu8xGg1OfOkfW13Q0Q,49400000.0,38781991349.0,182.0,7386556.0
2784,Cake By The Ocean,Pop Music Best Hit 2012-16's VOL18,DNCE,2012-01-01,USUM71514637,2863,26.1,1623436416,181003,87263572,76.0,205204907,2069073,563713,55758553,345185931,312,228.0,170627,323,110,0,58,382959323,0,0,15885088,1,382959323,,,,,,,,
2785,Exchange,T R A P S O U L,Bryson Tiller,2015-10-02,USRC11502185,2857,26.1,989672356,135409,50477248,76.0,713521813,4429142,245277,12247275,71925380,118725866,122.0,28008,15,70,0,15,0,0,22910659,2883431,1,,139.0,UC7O6XpyxQ9AUoKE-S-ixq5Q,BrysonTiller,https://www.youtube.com/channel/UC7O6XpyxQ9AUoKE-S-ixq5Q,3470000.0,2876262427.0,23.0,324824.0
2786,Wasted Love (feat. Lagique),Wasted Love (feat. Lagique),Ofenbach,2021-01-08,FR9W12028036,2868,26.1,385903701,66419,24104595,61.0,67488485,440351,728654,53819526,771965593,27764465,153.0,193630,0,54,0,7,9489011,724,0,2080227,0,9489011,,,,,,,,
2787,She Got the Best of Me,This One's for You Too (Deluxe Edition),Luke Combs,2018-06-01,US6XF1700267,2862,26.1,572628080,58161,18234682,79.0,358325972,1376330,48738,6199392,45145253,514930459,28.0,188483,19,3,0,11,343169820,0,0,1096110,0,343169820,272.0,UCOSIXyYdT93OzpRnAuWaKjQ,lukecombs,https://www.youtube.com/channel/UCOSIXyYdT93OzpRnAuWaKjQ,3740000.0,4993334198.0,99.0,87851.0
2788,Y Si Se Quiere Ir,Y Si Se Quiere Ir,"Luis Angel ""El Flaco""",2021-11-19,QZDQH2154311,2866,26.1,110244949,10233,6570771,39.0,442934526,1510804,2407,864180,12667235,37522385,1.0,4747,200,0,0,19,45568995,0,765234,0,0,45568995,,,,,,,,
2789,Camelot,Camelot,NLE Choppa,2019-09-13,USWB11901876,2854,26.1,537163250,117513,15086606,69.0,299438117,2767933,115957,6757364,45616164,55208010,16.0,0,0,9,0,3,33326249,0,0,803474,1,33326249,,,,,,,,
2790,Stuck In The Middle,Stuck in the Middle,Tai Verdes,2020-05-29,QZHN52001856,2861,26.1,143421888,46095,5506539,54.0,23355896,429911,4300313,895618190,6940732133,1036956,26.0,3496,150,5,0,3,4696434,0,0,570828,1,4696434,,,,,,,,
2791,Step Back!,Step Back!,1nonly,2022-09-02,USWB12203894,2860,26.1,166436749,48250,16940138,68.0,49886904,632581,58547,24932289,219657145,72266,9.0,3,0,3,0,0,3588218,0,7521020,850249,1,3588218,,,,,,,,
2792,UK Rap,Split Decision,Dave,2023-06-04,GBUM72305710,2882,26.0,107742416,42998,15708278,67.0,11323598,134265,0,68,921,15202,32.0,1310,39,10,0,6,167290,634,0,186901,1,167290,,,,,,,,
2793,Yugur,Yugur - Single,Dildora Niyozova,2024-02-21,GBLPF6787759,2886,26.0,17009,6,20,,66083451,231545,0,0,0,0,,0,0,0,0,0,0,0,0,37489,0,,,,,,,,,
2794,Mi Cama,Mi Cama,KAROL G,2018-05-11,USUM71806196,2881,26.0,224367887,21036,7372736,57.0,1159610485,6061105,136001,8220385,99044675,208104840,31.0,5993,219,23,0,19,17465106,0,0,1291228,0,17465106,111.0,UCZuPJZ2kGFdlbQu1qotZaHw,KarolG,https://www.youtube.com/channel/UCZuPJZ2kGFdlbQu1qotZaHw,39000000.0,27850286887.0,162.0,125238329.0
2795,Always This Same Old Song,Better Lucky Than Beautiful,Bingo Club,2023-02-24,FR9W12223053,2879,26.0,84198,27,527,15.0,295297180,0,0,0,0,0,,7,0,0,0,0,0,0,0,41,0,,,,,,,,,
2796,True Love,True Love,Kanye West,2022-05-27,USQX92202485,2884,26.0,269363579,84173,16979097,70.0,3464827,61192,162,39781,139748,197936,14.0,2567,300,10,0,13,7132702,0,0,706611,0,7132702,167.0,UCs6eXM7s8Vl5WcECcRHc2qQ,kanyewest,https://www.youtube.com/channel/UCs6eXM7s8Vl5WcECcRHc2qQ,11500000.0,8245751734.0,20.0,4244107.0
2797,La Triple T,La Triple T,TINI,2022-05-05,USHR12243202,2877,26.0,265244748,27965,12696928,58.0,219911011,1029281,439688,63221453,837142924,38389154,29.0,17457,424,21,0,16,383784,211,0,226814,0,383784,,,,,,,,
2798,Car's Outside,YOU,James Arthur,2019-10-18,DEE861903416,2876,26.0,578464780,64098,29245701,76.0,99386903,1089785,3170207,482763087,3957426996,78753926,32.0,6663,0,34,0,1,1516875,0,0,2697578,0,1516875,31.0,UCV5Gw7GGOMxe6SSF6llp_3Q,jamesarthur,https://www.youtube.com/channel/UCV5Gw7GGOMxe6SSF6llp_3Q,7590000.0,4780592788.0,259.0,161248.0
2799,Northern Attitude (with Hozier),Northern Attitude (with Hozier),Noah Kahan,2023-11-10,USUM72315552,2874,26.0,269280631,16841,7676990,,4294607,37332,0,0,0,0,12.0,0,0,12,0,30,4995688,0,285222,199947,1,4995688,239.0,UCXY5pi3MbsaP1WEgClmglsA,NoahKahan,https://www.youtube.com/channel/UCXY5pi3MbsaP1WEgClmglsA,780000.0,728761891.0,175.0,79011.0
2800,Paradise,Mylo Xyloto,Coldplay,2011-10-19,GBAYE1101143,2873,26.0,1291954163,205567,85747045,77.0,325509002,2163945,755099,119567231,1016743063,1022465,109.0,44631,109,94,0,32,486445533,0,0,8726725,0,486445533,76.0,UCDPM_n1atn2ijUwHd0NNRQw,coldplay,https://www.youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw,27400000.0,20462820743.0,530.0,91452.0
2801,Devil Doesnï¿½ï¿½ï¿½t B,(Un)Commentary,Alec Benjamin,2022-04-15,USAT22200712,2888,26.0,203417763,41522,3635691,66.0,69712050,939096,624819,85472081,686244417,1916679817,12.0,18320,111,2,0,7,43710605,0,0,885217,0,43710605,48.0,UCtWBCzqucZXq0M8jsqunM0g,AlecBenjaminMusic,https://www.youtube.com/channel/UCtWBCzqucZXq0M8jsqunM0g,5540000.0,2011778313.0,347.0,9732.0
2802,Vamos Aclarando Muchas Cosas - En Vivo,Vamos Aclarando Muchas Cosas (En Vivo),Codiciado,2022-09-02,QZQMB2102927,2887,26.0,145135597,15952,3101333,65.0,226936682,537097,235860,10955274,181357126,34156826,3.0,536,0,0,0,1,25569248,0,0,486827,1,25569248,,,,,,,,
2803,Peru,#NAME?,Fireboy DML,2020-01-01,USUYG1403104,2880,26.0,316588910,82524,14617198,62.0,276127028,1891292,94341,17340575,291943987,3517765335,62.0,158998,0,23,0,49,19592967,0,0,4534741,1,19592967,,,,,,,,
2804,Haja Colï¿½ï¿½rio (feat. Hugo & Guilherme) - Ao ,Haja Colï¿½ï¿½rio (feat. Hugo & Guilherme) [Ao V,Guilherme & Benuto,2022-06-23,BCVV82000055,2871,26.0,290735048,17734,15206997,60.0,296249830,565573,51900,5612563,91683933,3084523872,25.0,8531,0,42,0,7,218,0,0,136717,0,218,,,,,,,,
2805,Just Pretend,THE DEATH OF PEACE OF MIND,Bad Omens,2022-02-25,USYFZ2264208,2872,26.0,209635991,54470,8885780,71.0,26381437,281014,161246,24563445,231239811,12295099,18.0,99987,102,3,0,13,23457347,0,1923886,832908,0,23457347,,,,,,,,
2806,older,older,Isabel LaRosa,2023-09-15,USRC12302056,2870,26.0,174933335,20035,16854153,,13345496,254331,1,496198,3421698,0,4.0,290,0,13,0,0,1110727,934,1701988,810245,0,1110727,,,,,,,,
2807,Happy Dance,Happy Dance,Elmo,2023-02-03,USRH12206010,2889,26.0,0,0,0,,323018594,550826,0,0,0,0,,0,0,0,0,0,90623,791,0,0,0,90623,,,,,,,,
2808,Glorious (feat. Skylar Grey),Glorious (feat. Skylar Grey),Macklemore,2017-06-15,QZ8TY1700001,2878,26.0,899431434,111427,17437639,72.0,345265852,3361539,277847,116647161,813589191,142496161,58.0,1116,26,18,0,13,86963909,0,26708285,3585978,1,86963909,60.0,UCXYRdIXDdeZIf816EWAr5zQ,Macklemore,https://www.youtube.com/channel/UCXYRdIXDdeZIf816EWAr5zQ,9930000.0,6033813839.0,311.0,1160837.0
2809,Glorious (feat. Skylar Grey),Glorious (feat. Skylar Grey),Macklemore,2017-06-15,QZ8TY1700001,2878,26.0,899431434,111427,17437639,72.0,345265852,3361539,277847,116647161,813589191,142496161,58.0,1116,26,18,0,13,86963909,0,26708285,3585978,1,86963909,229.0,UCXYRdIXDdeZIf816EWAr5zQ,Macklemore,https://www.youtube.com/channel/UCXYRdIXDdeZIf816EWAr5zQ,9930000.0,6033813839.0,311.0,1161497.0
2810,Alone,Black Panther: Wakanda Forever - Music From and Inspired By,Burna Boy,2022-11-04,USHR12244832,2875,26.0,139783785,44303,5375418,63.0,37874489,402994,41400,17092754,129948415,644,25.0,5116,1,11,0,14,3097330,0,4553795,2203339,0,3097330,,,,,,,,
2811,Delicate,reputation,Taylor Swift,2017-11-10,USCJY1750007,2885,26.0,987770768,58856,33732271,75.0,593364271,4837607,33676,20092439,130537420,78802662,81.0,139497,30,17,0,55,168036238,0,0,3928542,0,168036238,70.0,UCqECaJ8Gagnn7YCbPEzWH6g,TaylorSwift,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,60700000.0,38424103158.0,285.0,928938.0
2812,Labios Mordidos (with KAROL G),Labios Mordidos (with KAROL G),Kali Uchis,2023-11-24,USUM72315069,2883,26.0,91553012,8921,15207574,,48246407,514286,321,234356,0,381759122,20.0,6121,126,36,0,9,6723078,0,483249,196870,0,6723078,94.0,UCQTuAezPu6MOpcIJ1Tz9dNA,KALIUCHIS,https://www.youtube.com/channel/UCQTuAezPu6MOpcIJ1Tz9dNA,3100000.0,2145399343.0,133.0,275910.0
2813,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]","No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,2021-06-16,UYB282113006,2892,25.9,203081704,47164,7286295,59.0,409311269,2277370,0,0,0,31484427,12.0,324,0,4,0,4,19948,0,0,373244,0,19948,,,,,,,,
2814,Ni**as In Paris,Watch the Throne (Deluxe),JAY-Z,2011-01-01,USUM71111621,2899,25.9,1436087930,296520,56557390,76.0,444307904,3150622,37473,21427059,199117216,16347538,159.0,49872,3,47,0,51,106302435,0,0,10189462,1,106302435,123.0,UCN-sc1xJr-QQNj_uNIM9wTA,jayzslifeandtimes,https://www.youtube.com/channel/UCN-sc1xJr-QQNj_uNIM9wTA,3830000.0,2618175338.0,,619722.0
2815,Be My Lover (feat. La Bouche) - 2023 Mix,Be My Lover (feat. La Bouche) [2023 Mix],Hypaton,2023-04-21,DEE862300656,2893,25.9,136778408,38192,48561484,74.0,0,0,1937,301660,16053583,0,31.0,27969,0,59,0,30,887691,205,1317255,936908,0,887691,,,,,,,,
2816,Butterfly x Boom - Remix,Butterfly x Boom (Remix),LEA,2022-01-13,HKK972201900,2897,25.9,0,382,26476,,0,0,3700884,12129705,201918963,0,,0,0,0,0,0,0,0,0,85064,0,,,,,,,,,
2817,On The Radar Freestyle,On The Radar Freestyle,Drake,2023-07-26,USLD91749183,2894,25.9,86155124,34804,13487736,62.0,17603372,566251,4799,2344363,21751158,465664,22.0,884,1,1,0,18,1836178,0,0,260921,1,1836178,28.0,UCSePgMI6WVzSE7rjiNj6jnA,DrakeRofls,https://www.youtube.com/channel/UCSePgMI6WVzSE7rjiNj6jnA,351000.0,114070368.0,1352.0,17296.0
2818,Forever (feat. Fridayy),It's Only Me,Lil Baby,2022-10-14,USUG12207233,2906,25.9,101717995,43236,7266342,61.0,28422099,327967,63,1372,15743,0,18.0,3843,932,3,0,0,96992333,0,0,1196752,1,96992333,110.0,UCVS88tG_NYgxF6Udnx2815Q,LilBabyATL,https://www.youtube.com/channel/UCVS88tG_NYgxF6Udnx2815Q,9730000.0,9813635684.0,118.0,2644584.0
2819,Bang Bang,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Jessie J,2014-01-01,USUM71409737,2895,25.9,1336196012,120161,65089226,72.0,321959140,3114933,22465,36410479,243157936,2330,164.0,30904,140,107,0,53,520899844,0,0,6269103,0,520899844,,,,,,,,
2820,Reminder,Starboy,The Weeknd,2016-11-25,USUG11600998,2890,25.9,1015965940,125348,27076169,77.0,530807213,3439489,515202,51866413,445032303,14016821,56.0,5219,68,37,0,3,71957016,0,7071878,3869271,1,71957016,,,,,,,,
2821,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),Taylor Swift,2023-10-26,USUG12306687,2908,25.9,265932119,15133,21522387,,10688311,218021,57311,24038841,148790467,1023354836,14.0,6497,5,19,0,33,2649309,0,0,362874,0,2649309,70.0,UCqECaJ8Gagnn7YCbPEzWH6g,TaylorSwift,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,60700000.0,38424103158.0,285.0,928938.0
2822,icantbelieveiletyougetaway,icantbelieveiletyougetaway,aldn,2024-05-31,QZMEQ2463576,2896,25.9,3162942,520,4539512,63.0,247697,13414,15900,0,0,0,,0,0,0,0,0,3490,26,366782,46746,0,3490,,,,,,,,
2823,Harmless Python,INKUBATOR,Hot Lemon,2023-02-25,USCGJ2325873,2905,25.9,0,0,0,,307570754,3929196,0,0,0,10540020,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,
2824,Funk Estranho,Funk Estranho - Single,prod.67,2024-05-31,QZNWR2410858,2902,25.9,3589,0,0,15.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,589007,0,,,,,,,,,
2825,Yo No Soy Celoso,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214880,2901,25.9,370800055,49381,6786167,68.0,130681979,909372,9631,12486570,123346772,20198310,8.0,1209,0,1,0,1,11215211,0,3831965,336808,1,11215211,12.0,UCmBA_wu8xGg1OfOkfW13Q0Q,BadBunnyPR,https://www.youtube.com/channel/UCmBA_wu8xGg1OfOkfW13Q0Q,49400000.0,38781991349.0,182.0,7386556.0
2826,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,2020-05-08,FRY682000003,2909,25.9,437558372,91322,17073985,65.0,131588669,803725,52346,9680657,88146717,46616431,97.0,213903,0,80,0,15,4728071,0,0,3913562,0,4728071,,,,,,,,
2827,JEALOUSY (feat. Cardi B),JEALOUSY (feat. Cardi B),Offset,2023-07-28,USUM72311135,2907,25.9,58058696,20289,18874374,56.0,31124272,674922,8543,7585680,62820921,267510966,18.0,35668,359,11,0,35,18553797,0,0,519567,1,18553797,115.0,UCLRm9H9a-2bAna0E-r5n8pg,OFFSETYRN,https://www.youtube.com/channel/UCLRm9H9a-2bAna0E-r5n8pg,875000.0,560840047.0,64.0,171105.0
2828,Clash (feat. Stormzy),Clash (feat. Stormzy),Dave,2021-07-08,GBUM72103840,2898,25.9,237619076,109634,9288222,61.0,83880421,827499,29127,12773383,121310762,13321285,68.0,6889,6,10,0,21,248457,109,0,995591,1,248457,,,,,,,,
2829,Salt,Salt (The Remixes),Ava Max,2019-12-12,USAT21906991,2891,25.9,388802420,56080,8025213,62.0,267992366,1873271,416848,90667312,1836584524,16367818,49.0,178796,0,41,0,6,36658628,0,6142628,4056404,0,36658628,58.0,UCOwgc8DswjoBMuuUU2ScPvQ,avamax,https://www.youtube.com/channel/UCOwgc8DswjoBMuuUU2ScPvQ,6690000.0,4268166823.0,233.0,407489.0
2830,Fire On Fire,Fire On Fire,Sam Smith,2018-12-21,GBUM71807533,2900,25.9,697834321,85430,22166821,70.0,408377555,3474229,845344,162079342,1362132192,462620095,23.0,3131,0,11,0,9,39317515,0,0,4296434,0,39317515,,,,,,,,
2831,Problema,Problema,Carlos Agassi,2023-09-27,TCAHM2313718,2904,25.9,125395,32,2558,,0,0,1100739,21961859,325076048,0,,0,0,0,0,0,0,0,0,380,1,,,,,,,,,
2832,Shoong! (feat. LISA of BLACKPINK),Down to Earth,TAEYANG,2023-04-25,KSA002300722,2903,25.9,156994096,14231,5565204,61.0,147699486,22687,15086,27140570,180459570,53993902,17.0,3500,18,3,0,11,959435,375,0,628505,0,959435,,,,,,,,
2833,"Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)",Leave Em Alone (with Lil Baby & City Girls feat. PnB Rock),Quality Control,2019-05-29,USUG11900730,2931,25.8,239850720,49483,7561353,58.0,137567703,1400248,494841,93154485,592960684,14347458,20.0,15,0,4,205,9,74465169,0,51398155,2282568,1,74465169,,,,,,,,
2834,Boyz In Paris (with VINAI),Boyz In Paris (with VINAI),Marnik,2023-07-28,FR9W12333643,2919,25.8,136709117,28764,62770976,73.0,5623146,62157,1046,438190,11060327,3380195,34.0,17195,0,72,0,16,0,0,0,1065826,1,,,,,,,,,
2835,3 Nights,"Don't Forget About Me, Demos",Dominic Fike,2018-10-16,USQX91802455,2929,25.8,987061577,170786,42953760,73.0,118458946,1182389,87128,32067807,219224269,5644556,164.0,5728,178,65,0,27,18478625,0,0,5057667,0,18478625,298.0,UCcwcJT8pVnq5MIDuNfca38Q,dominicfike,https://www.youtube.com/channel/UCcwcJT8pVnq5MIDuNfca38Q,645000.0,338896522.0,14.0,821061.0
2836,Ngozi,Trench to Triumph,Crayon,2023-07-21,US23A1567556,2928,25.8,48581084,11373,7780743,65.0,35448614,206819,549399,23105995,270727164,65962506,38.0,3397,9,2,0,22,21965,146,0,1291258,0,21965,,,,,,,,
2837,i am not who i was,i am not who i was - Single,Chance Peï¿½,2023-09-21,QZTPX2322912,2910,25.8,188215390,24322,21529351,,3624497,0,6448,2220665,21944041,29364635,6.0,1022,217,3,0,0,9796656,668,0,222417,0,9796656,,,,,,,,
2838,Single Again,Single Again,Harmonize,2023-02-19,HKC371724447,2915,25.8,0,3,4,,31741874,229907,1904084,16348061,230507109,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2839,July,July,Noah Cyrus,2019-07-31,USQX91901092,2927,25.8,977870118,115565,34759006,80.0,122949402,1540598,177051,97555124,348624319,4872508,64.0,20650,257,42,0,17,120010927,0,0,1097743,0,120010927,241.0,UCoA_M5jHdV9_dJZMm9-Cr5A,noahcyrus,https://www.youtube.com/channel/UCoA_M5jHdV9_dJZMm9-Cr5A,2270000.0,793054845.0,41.0,557839.0
2840,Perro Fiel (feat. Nicky Jam),El Dorado,Shakira,2017-05-26,USSD11700143,2911,25.8,433482670,36243,15506067,62.0,1080335262,3910533,389080,26721389,415634670,162147951,49.0,14262,59,24,0,29,83819443,0,0,3345147,0,83819443,102.0,UCYLNGLIzMhRTi6ZOLjAPSmw,Shakira,https://www.youtube.com/channel/UCYLNGLIzMhRTi6ZOLjAPSmw,47700000.0,32236284843.0,363.0,72554.0
2841,Andamos Mejor,Andamos Mejor,Los Gemelos De Sinaloa,2022-01-24,USDXS2200425,2930,25.8,209092342,22379,7376777,63.0,265900557,1262410,246700,11562330,200533647,186,6.0,20,0,0,0,6,71876275,0,0,443034,0,71876275,,,,,,,,
2842,Drag Me Down,Drag Me Down,One Direction,2015-07-31,GBHMU1500070,2921,25.8,1125333823,110189,62083784,76.0,1124359897,10115690,139963,23957571,175883717,548604090,88.0,17232,89,45,0,22,0,0,0,4226136,0,,,,,,,,,
2843,Tu Turrito,Tu Turrito,Rei,2022-05-04,UYB282208022,2918,25.8,187818818,26770,6270168,57.0,291692983,1352658,154200,30899907,365176711,757784,8.0,2741,0,8,0,2,0,0,0,187231,0,,,,,,,,,
2844,ýýýý ýýýýýýýýýý,ýýýý ýýýýýýýýýý,ANNA ASTI,2022-06-03,RUA1D2242027,2922,25.8,21081306,7633,496465,51.0,375871120,962835,31931,3332788,74908911,27887420,20.0,1266,0,0,0,0,0,0,0,1180992,0,,,,,,,,,
2845,Meet Me At Our Spot,THE ANXIETY,THE ANXIETY,2020-03-13,QMJMT2002693,2923,25.8,609716786,136864,31328182,69.0,280056,4102,182019,153184031,1195714328,0,57.0,2436,0,22,0,18,42232240,0,5318764,3251229,1,42232240,,,,,,,,
2846,Get Off The Wall,Get Off The Wall,Philly Goats,2023-06-02,USUM72307453,2926,25.8,8470479,2776,1823591,43.0,8291412,112395,1400151,60596180,503891783,0,2.0,277,11,0,0,3,467480,0,0,170102,1,467480,,,,,,,,
